Drew County,18509,33.587242,-91.722778
Faulkner County,113237,35.146356,-92.324654
Franklin County,18125,35.508573,-93.887672
Fulton County,12245,36.383443,-91.819239
Garland County,96024,34.578861,-93.146915
Grant County,17853,34.288063,-92.423984
Greene County,42090,36.119922,-90.565241
Hempstead County,22609,33.728611,-93.665809
Hot Spring County,32923,34.315177,-92.944147
Howard County,13789,34.083179,-93.990988
Independence County,36647,35.737499,-91.559942
Izard County,13696,36.094879,-91.913625
Jackson County,17997,35.596605,-91.223178
Jefferson County,77435,34.277695,-91.930701
Johnson County,25540,35.573359,-93.466322
Lafayette County,7645,33.24066,-93.611643
Lawrence County,17415,36.041098,-91.101153
Lee County,10424,34.77975,-90.779288
Lincoln County,14134,33.957665,-91.727624
Little River County,13171,33.699497,-94.229774
Logan County,22353,35.218549,-93.720563
Lonoke County,68356,34.755114,-91.894132
Madison County,15717,36.012545,-93.724053
Marion County,16653,36.266656,-92.678588
Miller County,43462,33.305505,-93.901509
Mississippi County,46480,35.766943,-90.052209
Monroe County,8149,34.679513,-91.203314
Montgomery County,9487,34.545652,-93.664147
Nevada County,8997,33.666699,-93.305072
Newton County,8330,35.910062,-93.215084
Ouachita County,26120,33.591158,-92.878418
Perry County,10445,34.946363,-92.926877
Phillips County,21757,34.425842,-90.848386
Pike County,11291,34.158191,-93.658659
Poinsett County,24583,35.568981,-90.680595
Polk County,20662,34.490915,-94.230884
Pope County,61754,35.455297,-93.031535
Prairie County,8715,34.828225,-91.557199
Pulaski County,382748,34.773988,-92.316515
Randolph County,17969,36.341298,-91.028441
St. Francis County,28258,35.014438,-90.742199
Saline County,107118,34.648525,-92.674463
Scott County,11233,34.858869,-94.063641
Searcy County,8195,35.90966,-92.699351
Sebastian County,125744,35.196981,-94.274989
Sevier County,17058,33.994608,-94.24329
Sharp County,17264,36.173399,-91.471069
Stone County,12394,35.856989,-92.140494
Union County,41639,33.168219,-92.598145
Van Buren County,17295,35.582959,-92.515977
Washington County,203065,35.971209,-94.218417
White County,77076,35.254722,-91.753158
Woodruff County,7260,35.189071,-91.244418
Yell County,22185,34.997713,-93.408303
Alameda County,1510271,37.648081,-121.913304
Alpine County,1175,38.61761,-119.798999
Amador County,38091,38.44355,-120.653856
Butte County,220000,39.665959,-121.601919
Calaveras County,45578,38.187844,-120.555115
Colusa County,21419,39.177739,-122.237563
Contra Costa County,1049025,37.919479,-121.951543
Del Norte County,28610,41.749903,-123.980998
El Dorado County,181058,38.785532,-120.534398
Fresno County,930450,36.761006,-119.655019
Glenn County,28122,39.602546,-122.4017
Humboldt County,134623,40.706673,-123.925818
Imperial County,174528,33.040816,-115.355395
